Test Id,Test scenario,Test case,Priority,Body,Methods / Request Type,Test Steps,Expected status code,Error,Validate,Expected result,Actual result,Status,Comments
po_01,Creating Tactics,create a  campaign level task using tactic creation api,,"{
        ""tactic_fields"": {
                ""status"": ""draft"",
                ""date_schedule"": ""continuously"",
                ""level"": ""campaign"",
                ""tasks"": [{
                        ""task"": ""pause_campaign"",
                        ""action_execution_frequency"": 1,
                        ""meta_data"": {},
                        ""conditions"": {
                                ""child_conditions"": [{
                                        ""name"": ""fb_primary_actions_post_engagement"",
                                        ""time"": ""yesterday"",
                                        ""condition"": "">="",
                                        ""value"": 0,
                                        ""rel_child"": ""AND"",
                                        ""aggregate"": """",
                                        ""child_conditions"": [],
                                        ""child_groups"": []
                                }],
                                ""child_groups"": []
                        }
                }],
                ""setup_type"": ""exp"",
                ""task_sequence"": null,
                ""objective"": """"
        },
        ""filters_fields"": {
                ""tactic_name"": ""TestQA"",
                ""recalculate_filter_flag"": ""off"",
                ""tactic_id"": 8368,
                ""filters"": [{
                        ""criteria_name"": ""campaign status"",
                        ""condition"": ""is"",
                        ""value"": ""active""
                }],
                ""filtered_ids"": [{
                        ""fb_id"": ""12345467891011120"",
                        ""name"": ""DUMMY NAME: aipsm_TEST_FBIN_O:AS_Base:Multi_*AQ-E:M:T:-TEST-N-BRD--0321-48*_DEFAULT_Mar21_sanity_appinstall1""
                }]
        }
}",POST,,200,FALSE,on,,,,
po_02,,"Validate if ""status"" accepts ""draft""",,"{
        ""tactic_fields"": {
                ""status"": ""draft"",
                ""date_schedule"": ""continuously"",
                ""level"": ""campaign"",
                ""tasks"": [{
                        ""task"": ""pause_campaign"",
                        ""action_execution_frequency"": 1,
                        ""meta_data"": {},
                        ""conditions"": {
                                ""child_conditions"": [{
                                        ""name"": ""fb_primary_actions_post_engagement"",
                                        ""time"": ""yesterday"",
                                        ""condition"": "">="",
                                        ""value"": 0,
                                        ""rel_child"": ""AND"",
                                        ""aggregate"": """",
                                        ""child_conditions"": [],
                                        ""child_groups"": []
                                }],
                                ""child_groups"": []
                        }
                }],
                ""setup_type"": ""exp"",
                ""task_sequence"": null,
                ""objective"": """"
        },
        ""filters_fields"": {
                ""tactic_name"": ""TestQA"",
                ""recalculate_filter_flag"": ""off"",
                ""tactic_id"": 8368,
                ""filters"": [{
                        ""criteria_name"": ""campaign status"",
                        ""condition"": ""is"",
                        ""value"": ""active""
                }],
                ""filtered_ids"": [{
                        ""fb_id"": ""12345467891011120"",
                        ""name"": ""DUMMY NAME: aipsm_TEST_FBIN_O:AS_Base:Multi_*AQ-E:M:T:-TEST-N-BRD--0321-48*_DEFAULT_Mar21_sanity_appinstall1""
                }]
        }
}",POST,,200,FALSE,on,,,,
po_03,,"Validate if ""status"" accepts ""on""",,"{
        ""tactic_fields"": {
                ""status"": ""on"",
                ""date_schedule"": ""continuously"",
                ""level"": ""campaign"",
                ""tasks"": [{
                        ""task"": ""pause_campaign"",
                        ""action_execution_frequency"": 1,
                        ""meta_data"": {},
                        ""conditions"": {
                                ""child_conditions"": [{
                                        ""name"": ""fb_primary_actions_post_engagement"",
                                        ""time"": ""yesterday"",
                                        ""condition"": "">="",
                                        ""value"": 0,
                                        ""rel_child"": ""AND"",
                                        ""aggregate"": """",
                                        ""child_conditions"": [],
                                        ""child_groups"": []
                                }],
                                ""child_groups"": []
                        }
                }],
                ""setup_type"": ""exp"",
                ""task_sequence"": null,
                ""objective"": """"
        },
        ""filters_fields"": {
                ""tactic_name"": ""TestQA"",
                ""recalculate_filter_flag"": ""off"",
                ""tactic_id"": 8368,
                ""filters"": [{
                        ""criteria_name"": ""campaign status"",
                        ""condition"": ""is"",
                        ""value"": ""active""
                }],
                ""filtered_ids"": [{
                        ""fb_id"": ""12345467891011120"",
                        ""name"": ""DUMMY NAME: aipsm_TEST_FBIN_O:AS_Base:Multi_*AQ-E:M:T:-TEST-N-BRD--0321-48*_DEFAULT_Mar21_sanity_appinstall1""
                }]
        }
}",POST,,200,FALSE,on,,,,
po_04,,"Validate if ""status"" accepts ""off""",,"{
        ""tactic_fields"": {
                ""status"": ""off"",
                ""date_schedule"": ""continuously"",
                ""level"": ""campaign"",
                ""tasks"": [{
                        ""task"": ""pause_campaign"",
                        ""action_execution_frequency"": 1,
                        ""meta_data"": {},
                        ""conditions"": {
                                ""child_conditions"": [{
                                        ""name"": ""fb_primary_actions_post_engagement"",
                                        ""time"": ""yesterday"",
                                        ""condition"": "">="",
                                        ""value"": 0,
                                        ""rel_child"": ""AND"",
                                        ""aggregate"": """",
                                        ""child_conditions"": [],
                                        ""child_groups"": []
                                }],
                                ""child_groups"": []
                        }
                }],
                ""setup_type"": ""exp"",
                ""task_sequence"": null,
                ""objective"": """"
        },
        ""filters_fields"": {
                ""tactic_name"": ""TestQA"",
                ""recalculate_filter_flag"": ""off"",
                ""tactic_id"": 8368,
                ""filters"": [{
                        ""criteria_name"": ""campaign status"",
                        ""condition"": ""is"",
                        ""value"": ""active""
                }],
                ""filtered_ids"": [{
                        ""fb_id"": ""12345467891011120"",
                        ""name"": ""DUMMY NAME: aipsm_TEST_FBIN_O:AS_Base:Multi_*AQ-E:M:T:-TEST-N-BRD--0321-48*_DEFAULT_Mar21_sanity_appinstall1""
                }]
        }
}",POST,,200,FALSE,on,,,,
po_05,,"Validate if ""status"" accepts null",,"{
        ""tactic_fields"": {
                ""status"": null,
                ""date_schedule"": ""continuously"",
                ""level"": ""campaign"",
                ""tasks"": [{
                        ""task"": ""pause_campaign"",
                        ""action_execution_frequency"": 1,
                        ""meta_data"": {},
                        ""conditions"": {
                                ""child_conditions"": [{
                                        ""name"": ""fb_primary_actions_post_engagement"",
                                        ""time"": ""yesterday"",
                                        ""condition"": "">="",
                                        ""value"": 0,
                                        ""rel_child"": ""AND"",
                                        ""aggregate"": """",
                                        ""child_conditions"": [],
                                        ""child_groups"": []
                                }],
                                ""child_groups"": []
                        }
                }],
                ""setup_type"": ""exp"",
                ""task_sequence"": null,
                ""objective"": """"
        },
        ""filters_fields"": {
                ""tactic_name"": ""TestQA"",
                ""recalculate_filter_flag"": ""off"",
                ""tactic_id"": 8368,
                ""filters"": [{
                        ""criteria_name"": ""campaign status"",
                        ""condition"": ""is"",
                        ""value"": ""active""
                }],
                ""filtered_ids"": [{
                        ""fb_id"": ""12345467891011120"",
                        ""name"": ""DUMMY NAME: aipsm_TEST_FBIN_O:AS_Base:Multi_*AQ-E:M:T:-TEST-N-BRD--0321-48*_DEFAULT_Mar21_sanity_appinstall1""
                }]
        }
}",POST,,400,TRUE,-,,,,
po_06,,"Validate if ""status"" accepts invalid value",,"{
        ""tactic_fields"": {
                ""status"": ""xyz"",
                ""date_schedule"": ""continuously"",
                ""level"": ""campaign"",
                ""tasks"": [{
                        ""task"": ""pause_campaign"",
                        ""action_execution_frequency"": 1,
                        ""meta_data"": {},
                        ""conditions"": {
                                ""child_conditions"": [{
                                        ""name"": ""fb_primary_actions_post_engagement"",
                                        ""time"": ""yesterday"",
                                        ""condition"": "">="",
                                        ""value"": 0,
                                        ""rel_child"": ""AND"",
                                        ""aggregate"": """",
                                        ""child_conditions"": [],
                                        ""child_groups"": []
                                }],
                                ""child_groups"": []
                        }
                }],
                ""setup_type"": ""exp"",
                ""task_sequence"": null,
                ""objective"": """"
        },
        ""filters_fields"": {
                ""tactic_name"": ""TestQA"",
                ""recalculate_filter_flag"": ""off"",
                ""tactic_id"": 8368,
                ""filters"": [{
                        ""criteria_name"": ""campaign status"",
                        ""condition"": ""is"",
                        ""value"": ""active""
                }],
                ""filtered_ids"": [{
                        ""fb_id"": ""12345467891011120"",
                        ""name"": ""DUMMY NAME: aipsm_TEST_FBIN_O:AS_Base:Multi_*AQ-E:M:T:-TEST-N-BRD--0321-48*_DEFAULT_Mar21_sanity_appinstall1""
                }]
        }
}",POST,,400,TRUE,"['""xyz"" is not a valid choice.']",,,,
po_07,,"Validate if ""status"" accepts integer value",,"{
        ""tactic_fields"": {
                ""status"": 123,
                ""date_schedule"": ""continuously"",
                ""level"": ""campaign"",
                ""tasks"": [{
                        ""task"": ""pause_campaign"",
                        ""action_execution_frequency"": 1,
                        ""meta_data"": {},
                        ""conditions"": {
                                ""child_conditions"": [{
                                        ""name"": ""fb_primary_actions_post_engagement"",
                                        ""time"": ""yesterday"",
                                        ""condition"": "">="",
                                        ""value"": 0,
                                        ""rel_child"": ""AND"",
                                        ""aggregate"": """",
                                        ""child_conditions"": [],
                                        ""child_groups"": []
                                }],
                                ""child_groups"": []
                        }
                }],
                ""setup_type"": ""exp"",
                ""task_sequence"": null,
                ""objective"": """"
        },
        ""filters_fields"": {
                ""tactic_name"": ""TestQA"",
                ""recalculate_filter_flag"": ""off"",
                ""tactic_id"": 8368,
                ""filters"": [{
                        ""criteria_name"": ""campaign status"",
                        ""condition"": ""is"",
                        ""value"": ""active""
                }],
                ""filtered_ids"": [{
                        ""fb_id"": ""12345467891011120"",
                        ""name"": ""DUMMY NAME: aipsm_TEST_FBIN_O:AS_Base:Multi_*AQ-E:M:T:-TEST-N-BRD--0321-48*_DEFAULT_Mar21_sanity_appinstall1""
                }]
        }
}",POST,,400,TRUE,-,,,,
po_08,,"Validate if  ""date_schedule"" parameter accepts ""continuously""",,"{
        ""tactic_fields"": {
                ""status"": ""draft"",
                ""date_schedule"": ""continuously"",
                ""level"": ""campaign"",
                ""tasks"": [{
                        ""task"": ""pause_campaign"",
                        ""action_execution_frequency"": 1,
                        ""meta_data"": {},
                        ""conditions"": {
                                ""child_conditions"": [{
                                        ""name"": ""fb_primary_actions_post_engagement"",
                                        ""time"": ""yesterday"",
                                        ""condition"": "">="",
                                        ""value"": 0,
                                        ""rel_child"": ""AND"",
                                        ""aggregate"": """",
                                        ""child_conditions"": [],
                                        ""child_groups"": []
                                }],
                                ""child_groups"": []
                        }
                }],
                ""setup_type"": ""exp"",
                ""task_sequence"": null,
                ""objective"": """"
        },
        ""filters_fields"": {
                ""tactic_name"": ""TestQA"",
                ""recalculate_filter_flag"": ""off"",
                ""tactic_id"": 8368,
                ""filters"": [{
                        ""criteria_name"": ""campaign status"",
                        ""condition"": ""is"",
                        ""value"": ""active""
                }],
                ""filtered_ids"": [{
                        ""fb_id"": ""12345467891011120"",
                        ""name"": ""DUMMY NAME: aipsm_TEST_FBIN_O:AS_Base:Multi_*AQ-E:M:T:-TEST-N-BRD--0321-48*_DEFAULT_Mar21_sanity_appinstall1""
                }]
        }
}",POST,,200,FALSE,continuously,,,,
po_09,,"Validate if  ""date_schedule"" parameter accepts ""between_dates""",,"{
	""tactic_fields"": {
		""status"": ""draft"",
		""date_schedule"": ""between_dates"",
		""level"": ""campaign"",
		""tasks"": [{
			""task"": ""pause_campaign"",
			""action_execution_frequency"": 1,
			""meta_data"": {},
			""conditions"": {
				""child_conditions"": [{
					""name"": ""fb_primary_actions_post_engagement"",
					""time"": ""yesterday"",
					""condition"": "">="",
					""value"": 0,
					""rel_child"": ""AND"",
					""aggregate"": """",
					""child_conditions"": [],
					""child_groups"": []
				}],
				""child_groups"": []
			}
		}],
		""setup_type"": ""exp"",
		""task_sequence"": null,
		""objective"": """",
		""start_date"": ""2021-05-14"",
		""end_date"": ""2021-05-15""

	},
	""filters_fields"": {
		""tactic_name"": ""TestQA"",
		""recalculate_filter_flag"": ""off"",
		""tactic_id"": 8368,
		""filters"": [{
			""criteria_name"": ""campaign status"",
			""condition"": ""is"",
			""value"": ""active""
		}],
		""filtered_ids"": [{
			""fb_id"": ""12345467891011120"",
			""name"": ""DUMMY NAME: aipsm_TEST_FBIN_O:AS_Base:Multi_*AQ-E:M:T:-TEST-N-BRD--0321-48*_DEFAULT_Mar21_sanity_appinstall1""
		}]
	}
}",POST,,200,FALSE,between_dates,,,,
po_10,,"Validate ""start_date"" when ""start_date"" and ""end_date"" have valid dates.",,"{
        ""tactic_fields"": {
                ""status"": ""draft"",
                ""date_schedule"": ""between_dates"",
                ""level"": ""campaign"",
                ""tasks"": [{
                        ""task"": ""pause_campaign"",
                        ""action_execution_frequency"": 1,
                        ""meta_data"": {},
                        ""conditions"": {
                                ""child_conditions"": [{
                                        ""name"": ""fb_primary_actions_post_engagement"",
                                        ""time"": ""yesterday"",
                                        ""condition"": "">="",
                                        ""value"": 0,
                                        ""rel_child"": ""AND"",
                                        ""aggregate"": """",
                                        ""child_conditions"": [],
                                        ""child_groups"": []
                                }],
                                ""child_groups"": []
                        }
                }],
                ""setup_type"": ""exp"",
                ""task_sequence"": null,
                ""objective"": """",
                ""start_date"": ""2021-05-15"",
                ""end_date"": ""2021-05-15""

        },
        ""filters_fields"": {
                ""tactic_name"": ""TestQA"",
                ""recalculate_filter_flag"": ""off"",
                ""tactic_id"": 8368,
                ""filters"": [{
                        ""criteria_name"": ""campaign status"",
                        ""condition"": ""is"",
                        ""value"": ""active""
                }],
                ""filtered_ids"": [{
                        ""fb_id"": ""12345467891011120"",
                        ""name"": ""DUMMY NAME: aipsm_TEST_FBIN_O:AS_Base:Multi_*AQ-E:M:T:-TEST-N-BRD--0321-48*_DEFAULT_Mar21_sanity_appinstall1""
                }]
        }
}",POST,,200,FALSE,2021-05-15,,,,
